,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
9615,9615,Mediacorp,24/4/2022,Short review,5.0,Internship,Singapore,reviews,objective,neutral,,pro : really fun engaging plus learn alot . con : difficult manage time,0.703516,8237.0,pro : really fun engaging plus learn alot . con : difficult manage time
9623,9623,Mediacorp,23/3/2022,Working for MEDIACORP news,5.0,Senior Producer,Singapore,reviews,objective,neutral,,pro : stable career good colleague . con : change slow hierarchy,0.9168141,8245.0,pro : stable career good colleague . con : change slow hierarchy
9627,9627,Mediacorp,10/3/2022,Good company,5.0,Technical Lead,Singapore,reviews,objective,neutral,,pro : understand senior management . good opportunity work excite business problem around medium entertainment industry .. con : no significant con moment .,0.6732138,8249.0,pro : understand senior management . good opportunity work excite business problem around medium entertainment industry .. con : no significant con moment .
9629,9629,Mediacorp,1/3/2022,Very good,5.0,Editorial,Singapore,reviews,objective,neutral,,"pro : everyday fun , mentally stimulate . con : tiring , hectic , no work life",0.8653188,8251.0,"pro : everyday fun , mentally stimulate . con : tiring , hectic , no work life"
9637,9637,Mediacorp,29/1/2022,-,5.0,Assistant Producer,,reviews,objective,neutral,,pro : good work environment high salary . con : work weekend,0.8767005,8259.0,pro : good work environment high salary . con : work weekend
9664,9664,Mediacorp,5/10/2021,nice place to be at,5.0,Anonymous Employee,Singapore,reviews,objective,neutral,,pro : exciting place content creator . con : location office not easily accessible,0.9296068,8286.0,pro : exciting place content creator . con : location office not easily accessible
9672,9672,Mediacorp,23/10/2021,Not that great,1.0,Anonymous Employee,Singapore,reviews,objective,neutral,,pro : brand name really strong . con : main editor singapore news desk n't best,0.698163,8294.0,pro : brand name really strong . con : main editor singapore news desk n't best
9696,9696,Mediacorp,14/7/2021,Politics,1.0,Sales,,reviews,objective,neutral,,pro : good employee benefit mobile transport allowance .. con : lot politics old school thinking manager .,0.80188245,8318.0,pro : good employee benefit mobile transport allowance .. con : lot politics old school thinking manager .
9713,9713,Mediacorp,21/4/2021,Working more than 5 years,5.0,Designer,,reviews,objective,neutral,,"pro : good benefit dental , health . performance bonus aws yearly . flexible good work life balance .. con : not much career progression , thing frequently .",0.6306417,8335.0,"pro : good benefit dental , health . performance bonus aws yearly . flexible good work life balance .. con : not much career progression , thing frequently ."
9724,9724,Mediacorp,4/5/2021,Product Manager,1.0,IT Product Manager,Singapore,reviews,objective,neutral,,"pro : 1 ) aws - 1 month bonus perform well . 2 ) flexi hour . con : 1 ) political -lots back stabbing blamming . 2 ) perform really well , get little increment , not -nothing . 3 ) cost savvy , prepare work long hour .",0.5473922,8346.0,"pro : 1 ) aws - 1 month bonus perform well . 2 ) flexi hour . con : 1 ) political -lots back stabbing blamming . 2 ) perform really well , get little increment , not -nothing . 3 ) cost savvy , prepare work long hour ."
9728,9728,Mediacorp,16/3/2021,Great learning experience!,5.0,Anonymous Employee,,reviews,objective,neutral,,"pro : great work environment , work-life balance . con : stressful time",0.8258201,8350.0,"pro : great work environment , work-life balance . con : stressful time"
9729,9729,Mediacorp,19/4/2021,None,1.0,Account Executive,Singapore,reviews,objective,neutral,,pro : fulltime benefit ok stable .. con : fulltime hour everyday .,0.8903837,8351.0,pro : fulltime benefit ok stable .. con : fulltime hour everyday .
9737,9737,Mediacorp,15/2/2021,Leaning curve,5.0,Information Technology,,reviews,objective,neutral,,pro : 's good environment learn medium work colleague friendly .. con : slow approval process project .,0.88125885,8359.0,pro : 's good environment learn medium work colleague friendly .. con : slow approval process project .
9740,9740,Mediacorp,4/2/2021,Video Producer,5.0,Video Producer,,reviews,objective,neutral,,"pro : flexibility work hour , boss dont micro manage . con : hot desking , not permanent sit , clear table everyday",0.8830556,8362.0,"pro : flexibility work hour , boss dont micro manage . con : hot desking , not permanent sit , clear table everyday"
9741,9741,Mediacorp,10/3/2021,Publishing role in the media industry,1.0,Senior Executive,Singapore,reviews,objective,neutral,,"pro : lifestyle benefit , annual leave , work hour .. con : unproductive environment , progression relation connection instead merit .",0.7412324,8363.0,"pro : lifestyle benefit , annual leave , work hour .. con : unproductive environment , progression relation connection instead merit ."
9745,9745,Mediacorp,26/1/2021,Good Culture. Would stay to retire,5.0,Human Resources Specialist,Singapore,reviews,objective,neutral,,pro : good culture . nurturing helpful culture .. con : red tape . policy messy . good retirement not progression .,0.61434305,8367.0,pro : good culture . nurturing helpful culture .. con : red tape . policy messy . good retirement not progression .
9750,9750,Mediacorp,13/1/2021,nil,5.0,Senior Producer,Singapore,reviews,objective,neutral,,"pro : good team player , flexible work arrangement . con : bureaucratic time normal",0.91206753,8372.0,"pro : good team player , flexible work arrangement . con : bureaucratic time normal"
9769,9769,Mediacorp,25/10/2020,Good,5.0,Digital Marketing Manager,Singapore,reviews,objective,neutral,,pro : good company nice people . con : pay scale not market,0.6590847,8391.0,pro : good company nice people . con : pay scale not market
9770,9770,Mediacorp,15/10/2020,MediaCorp Salary,5.0,Logistics Associate,Singapore,reviews,objective,neutral,,pro : get see local actor . con : alot political dispute around,0.89759135,8392.0,pro : get see local actor . con : alot political dispute around
9778,9778,Mediacorp,30/8/2020,Limited chance to get promoted,1.0,Anonymous Employee,,reviews,objective,neutral,,"pro : hot desking , boss n't know .. con : limited chance get promote",0.88090813,8400.0,"pro : hot desking , boss n't know .. con : limited chance get promote"
9784,9784,Mediacorp,3/6/2020,Retired after 41 years of service,5.0,Audio Engineer,Singapore,reviews,objective,neutral,,pro : radio & tv production live & pre record mediacorp .. con : no employment 62 .,0.8939458,8406.0,pro : radio & tv production live & pre record mediacorp .. con : no employment 62 .
9810,9810,Mediacorp,10/12/2019,Executive,5.0,Senior Executive,,reviews,objective,neutral,,pro : stable useful decent helpful fair . con : shift work politic unfair judgement,0.75254864,8432.0,pro : stable useful decent helpful fair . con : shift work politic unfair judgement
9815,9815,Mediacorp,2/1/2020,Recognition,1.0,Anonymous Employee,,reviews,objective,neutral,,"pro : nice new dirty toilet . con : far , no recognition low pay",0.6126442,8437.0,"pro : nice new dirty toilet . con : far , no recognition low pay"
9825,9825,Mediacorp,19/9/2019,Research Writer,5.0,Writer,Singapore,reviews,objective,neutral,,pro : fun & dynamic working environment . con : irregular hour may cause stress,0.93380463,8447.0,pro : fun & dynamic working environment . con : irregular hour may cause stress
9831,9831,Mediacorp,26/9/2019,Poor treatment,1.0,Senior Editor,Singapore,reviews,objective,neutral,,pro : interesting environment nice people . con : lack work life balance long hour lack food choice inconsiderate management,0.5967197,8453.0,pro : interesting environment nice people . con : lack work life balance long hour lack food choice inconsiderate management
9836,9836,Mediacorp,15/7/2019,Senior Motion Graphics Designer,5.0,Senior Motion Graphics Designer,Singapore,reviews,objective,neutral,,pro : best broadcasting tech . con : less time recreational activity,0.91332304,8458.0,pro : best broadcasting tech . con : less time recreational activity
9840,9840,Mediacorp,7/7/2019,Backwards “Hollywood wannabes”,1.0,,,reviews,objective,neutral,,pro : don ’ pride quality work . con : wonder no people watch tv anymore ?,0.50071883,8462.0,pro : don ’ pride quality work . con : wonder no people watch tv anymore ?
9910,9910,Mediacorp,16/12/2016,Nice environment,5.0,,,reviews,objective,neutral,,"pro : flexi-hours dress code , new campus near mrt holland village , pleasant boss colleague .... con : long hour , especially live event . constant change content , nature job tv land .",0.5292443,8532.0,"pro : flexi-hours dress code , new campus near mrt holland village , pleasant boss colleague .... con : long hour , especially live event . constant change content , nature job tv land ."
9948,9948,Mediacorp,13/11/2015,Poor working conditions,1.0,Producer,Singapore,reviews,objective,neutral,,pro : fairly good employment benefit leave . con : understaffed overwork work condition,0.8589778,8570.0,pro : fairly good employment benefit leave . con : understaffed overwork work condition
9985,9985,Mediacorp,16/7/2014,Mediacorp,1.0,,,reviews,objective,neutral,,pro : - laves hr perk good - good brand name reputation outside . con : - finance department control everything no body say no even ceo - no co-ordination department - not good long term -,0.42490268,8607.0,pro : - laves hr perk good - good brand name reputation outside . con : - finance department control everything no body say no even ceo - no co-ordination department - not good long term -
9988,9988,Mediacorp,12/6/2014,Just plain torture,1.0,Reporter,Singapore,reviews,objective,neutral,,-,0.61981183,8610.0,-
9990,9990,Mediacorp,25/4/2014,Political place full of managers who think they are superior beings. Please don't ever come if you are joining as sales.,1.0,Account Manager,Singapore,reviews,objective,neutral,,"pro : name ... springboard .. con : many name . sale , please stay away . join u zero pride .",0.84773535,8612.0,"pro : name ... springboard .. con : many name . sale , please stay away . join u zero pride ."
9993,9993,Mediacorp,18/2/2014,HR,1.0,Anonymous Employee,,reviews,objective,neutral,,pro : interesting industry part . challenge environment lot change .. con : psychotic organization not make mind . senior mgt not inspire give best .,0.6203344,8615.0,pro : interesting industry part . challenge environment lot change .. con : psychotic organization not make mind . senior mgt not inspire give best .
9996,9996,Mediacorp,10/10/2013,no life working environment,1.0,Anonymous Employee,,reviews,objective,neutral,,"pro : learn alot senior junior . con : political , bitchy environment otsa redtape",0.8409868,8618.0,"pro : learn alot senior junior . con : political , bitchy environment otsa redtape"
10017,10017,Mediacorp,5/4/2021,Best Broadcaster experience,5.0,Sound Designer,"London, England",reviews,objective,neutral,,pro : best place learn new technology . con : structure company delicate make constructive change,0.915337,8639.0,pro : best place learn new technology . con : structure company delicate make constructive change
10018,10018,Mediacorp,30/3/2021,Good company,5.0,Freelance Journalist,Johannesburg,reviews,objective,neutral,,pro : good company organise diverse growth balance . con : deadline slow no promotion long hour less flexibility,0.8928317,8640.0,pro : good company organise diverse growth balance . con : deadline slow no promotion long hour less flexibility
10027,10027,Mediacorp,13/8/2019,"Toxic Culture In Some Teams, Empowering Culture in Others",1.0,,,reviews,objective,neutral,,pro : 's singapore 's big medium house ton influence . resource team build truly unique & valuable product .. con : consumer insight & analytics team within mediacorp toxic team singapore . 's career suicide .,0.67350245,8649.0,pro : 's singapore 's big medium house ton influence . resource team build truly unique & valuable product .. con : consumer insight & analytics team within mediacorp toxic team singapore . 's career suicide .
